Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,PE Ratio,Ent. Value,MC Group,Sector,Forward PE,Country,State,Employees,Empl. Change,Empl. Growth,Revenue,Rev. Growth 3Y,Rev. Growth 5Y,Rev Growth (Yrs),Gross Profit,GP Growth,GP Growth (Q),GP Growth 5Y,GP Growth 3Y,Net Income,Op. Income,OpInc Growth,OpInc Growth (Q),OpInc Growth 3Y,OpInc Growth 5Y,NetInc Growth,NetInc Growth (Q),NetInc Growth 3Y,NetInc Growth 5Y,NetInc Growth (Yrs),NetInc Growth (Qtrs),Total Cash,Total Debt,Rev / Employee,Prof. / Employee,Working Capital,Equity,Net WC,Rev Gr. This Y,Rev Gr. Next 5Y,Rev Gr. Next Y,Rev. Growth,Rev. Growth (Q),Rev Growth (Qtrs),Volume,Debt Growth (YoY),Debt Growth (QoQ),Debt Growth (3Y),Debt Growth (5Y),Net Cash,Net Cash Growth,Cash / M.Cap,Assets,Liabilities,Gross Margin,Oper. Margin,Pretax Margin,Profit Margin,R&D / Rev,Avg. Volume,Rel. Volume,RSI,Tax / Revenue,Rev Gr. This Q,Rev Gr. Next Q
CONX,CONX Corp.,221225184,10.60,1.15%,Shell Companies,1060.00,223065698,Micro-Cap,Financials,,United States,Colorado,1,,,,,,,,,,,,-1332568,-1159057,,,,,,-68.54%,,,2,,9982,1850496,,-1332568,-3382347,-34419847,-1541833,,,,,,,212,,21.21%,70.55%,,-1840514,,-0.83%,27961558,34451746,,,,,,618,34.30%,49.25,,,
CLCO,Cool Company,604362688,11.11,0.63%,Marine Shipping,17.63,1528108688,Small-Cap,Industrials,6.04,Bermuda,,1543,,,379010000,,,2,301695000,76.56%,7.09%,,,174729000,200893000,81.09%,12.62%,,,103.78%,-33.57%,,,3,,137338000,1061084000,245632,113240,-139077000,735990000,-82002000,81.03%,17.43%,-5.56%,77.96%,7.63%,4,78557,-6.78%,1.51%,,,-923746000,,-152.85%,2056943000,1250363000,79.60%,53.00%,46.25%,46.10%,,248796,31.57%,45.96,0.15%,8.12%,-10.56%
CPS,Cooper-Standard Holdings,266733232,16.49,6.32%,Auto Parts,,1302439232,Micro-Cap,Consumer Discretionary,62.89,United States,Michigan,20000,,,2815879000,5.83%,-4.92%,2,290776000,124.03%,19.12%,-11.91%,25.37%,-201985000,46031000,,,,-15.92%,,,,,2,3,154801000,1190507000,140794,-10099,247343000,-81300000,161831000,5.83%,,4.23%,11.50%,3.74%,7,78374,4.93%,-7.52%,1.58%,7.45%,-1035706000,,-388.29%,1872299000,1962032000,10.33%,1.63%,-6.86%,-7.17%,,174037,45.03%,62.66,0.32%,6.93%,5.85%
CPA,Copa Holdings,4270085376,102.92,1.30%,Airlines,7.88,5018014376,Mid-Cap,Industrials,6.51,Panama,,7265,1138,18.57%,2965033000,27.97%,,2,1518442000,0.81%,,,21.78%,348054000,450384000,182.26%,,15.85%,,693.85%,,13.03%,,2,,934747000,1682676000,408126,47908,42254000,1492110000,,16.90%,9.78%,8.14%,96.37%,,,143695,1.19%,,19.36%,,-747929000,,-17.52%,4690362000,3198252000,51.21%,15.19%,13.09%,11.74%,,289036,49.72%,54.86,1.35%,,
CPRT,Copart,55014858752,57.24,0.03%,Auto & Truck Dealerships,41.18,52462340752,Large-Cap,Consumer Discretionary,38.27,United States,Texas,10200,700,7.37%,4059987000,21.10%,16.73%,8,1869179000,15.82%,8.83%,18.16%,19.43%,1356378000,1584817000,15.29%,3.93%,20.42%,20.43%,25.37%,10.88%,24.27%,22.96%,9,5,2668070000,115552000,398038,132978,3222463000,6787600000,575616000,11.36%,11.11%,8.75%,10.52%,6.63%,14,3713522,4.97%,-13.03%,-39.11%,-25.18%,2552518000,64.59%,4.64%,7598520000,785806000,46.04%,39.04%,41.83%,33.41%,,4763486,77.96%,75.29,8.42%,2.66%,12.97%
CDP,COPT Defense Properties,2704935936,24.05,3.02%,REIT - Office,,4987333936,Mid-Cap,Real Estate,19.75,United States,Maryland,410,15,3.80%,684982000,5.56%,3.45%,,380181000,5.13%,5.00%,3.59%,5.48%,-73469000,-14943000,,-22.62%,,,,-33.33%,,,,,167820000,2450218000,1670688,-179193,,1483912000,,2.95%,4.06%,4.08%,-7.31%,2.56%,1,405277,8.39%,0.06%,4.98%,6.08%,-2282398000,,-84.38%,4246966000,2699631000,55.50%,-2.18%,-10.64%,-10.73%,,967404,41.89%,48.50,0.09%,3.98%,3.69%
CRBP,Corbus Pharmaceuticals Holdings,375967808,35.57,-1.60%,Biotechnology,,375276134,Small-Cap,Healthcare,,United States,Massachusetts,19,,,,,,,,,,,,-44603316,-45077301,,,,,,,,,,1,21575906,20884232,,-2347543,-8348043,-6904722,-12278348,,,,,,,173999,-16.76%,-8.63%,-8.02%,121.21%,691674,-98.01%,0.18%,28272393,35177115,,,,,,943342,18.44%,51.02,,,
CORT,Corcept Therapeutics,2562045696,25.32,2.30%,Biotechnology,26.80,2193975696,Mid-Cap,Healthcare,22.41,United States,California,352,53,17.73%,482375000,10.88%,13.93%,11,475894000,20.03%,31.46%,14.10%,10.97%,105496000,107282000,-4.75%,40.76%,-5.77%,3.69%,4.15%,88.37%,-0.16%,6.95%,1,1,368221000,151000,1370384,299705,354131000,506705000,-13939000,29.12%,15.14%,9.03%,20.04%,31.39%,11,714327,-86.79%,-32.89%,-61.03%,,368070000,-14.51%,14.37%,621517000,114812000,98.66%,22.24%,25.69%,21.87%,38.22%,1603293,44.55%,61.01,3.82%,35.93%,30.57%
CNM,Core & Main,11534531584,56.77,-0.89%,Industrial Distribution,26.40,13604531584,Large-Cap,Industrials,23.50,United States,Missouri,5000,500,11.11%,6702000000,22.54%,,5,1818000000,1.28%,2.95%,,27.46%,371000000,740000000,-4.52%,-6.45%,58.74%,,1.37%,16.67%,115.64%,,4,2,1000000,2071000000,1340400,74200,999000000,1451000000,1068000000,7.58%,,5.98%,0.77%,4.80%,2,3544667,26.74%,26.67%,-4.72%,,-2070000000,,-17.95%,5069000000,3545000000,27.13%,11.04%,7.45%,5.54%,,3088383,114.77%,75.54,1.91%,-8.13%,-7.63%
CLB,Core Laboratories,769962624,16.99,2.97%,Oil & Gas Equipment & Services,21.78,970227624,Small-Cap,Energy,18.36,Netherlands,,3600,,,509790000,1.52%,-6.17%,2,109833000,14.31%,-3.83%,-11.64%,-0.80%,36675000,54640000,31.59%,-6.64%,,-14.36%,88.53%,-67.43%,,-14.34%,1,,15120000,215385000,141608,10188,135039000,224815000,130094000,17.10%,2.66%,-9.99%,4.10%,0.50%,1,234419,-3.15%,-5.76%,-12.99%,-5.76%,-200265000,,-26.01%,586395000,356588000,21.54%,10.72%,8.02%,7.19%,,489524,47.89%,61.39,0.82%,9.38%,-1.74%
CMT,Core Molding Technologies,160990064,18.54,0.87%,Specialty Chemicals,8.03,159873064,Micro-Cap,Materials,14.23,United States,Ohio,1857,,,357738000,17.18%,5.83%,,64520000,23.13%,-4.75%,18.91%,23.24%,20324000,26537000,47.40%,-15.33%,36.69%,,66.55%,-54.84%,35.52%,,2,,24104000,22987000,192643,10945,56693000,138953000,34057000,-2.20%,,5.67%,-5.20%,-14.65%,,29700,-11.79%,-1.31%,-6.53%,-17.01%,1117000,,0.69%,213377000,74424000,18.04%,7.42%,7.20%,5.68%,,60049,49.46%,50.14,1.52%,-21.14%,-14.16%
CORZ,Core Scientific,575400000,3.37,4.01%,Software - Infrastructure,,1468287000,Small-Cap,Technology,,United States,Texas,286,,,502400000,,,,123459000,1369.75%,,,,-246487000,12879000,,,,,,,,,1,4,71993000,964880000,1756643,-861843,-391407000,-596941000,-319194000,22.15%,,,-21.54%,17.05%,1,2495999,-9.40%,0.64%,,,-892887000,,-155.18%,712156000,1309097000,24.57%,2.56%,-48.93%,-49.06%,1.43%,3658063,68.23%,44.29,0.14%,18.15%,24.19%
CRBG,Corebridge Financial,17767577600,28.15,,Asset Management,16.46,29027577600,Large-Cap,Financials,5.55,United States,Texas,5700,-2000,-25.97%,18878000000,7.82%,,,5095000000,-66.49%,,,1.09%,1104000000,844000000,-92.35%,,-14.51%,,-86.47%,,19.81%,,,,612000000,11872000000,3311930,193684,,11766000000,,25.09%,,6.16%,-23.56%,-18.77%,,5529263,-22.54%,-0.79%,1.82%,,-11260000000,,-63.37%,379270000000,366635000000,26.99%,4.47%,5.34%,5.85%,,4260280,129.79%,75.66,-0.51%,32.40%,4.03%
CCRD,CoreCard,87101832,11.02,6.78%,Software - Application,27.65,56074832,Micro-Cap,Technology,,United States,Georgia,1150,,,56004000,16.01%,22.75%,,19433000,-47.62%,-43.22%,10.92%,-1.68%,3395000,6076000,-69.89%,-64.40%,-18.67%,-1.67%,-75.54%,-51.20%,-25.35%,-11.47%,,,32148000,1121000,48699,2952,34949000,52704000,2801000,-8.57%,,14.04%,-19.72%,-23.18%,,68581,-43.41%,-18.00%,-17.47%,,31027000,32.65%,35.62%,63826000,11122000,34.70%,10.85%,8.03%,6.06%,15.14%,37465,183.05%,43.64,1.97%,-17.05%,-21.35%
CXW,CoreCivic,1762315136,15.65,,REIT - Specialty,26.53,2728432136,Small-Cap,Real Estate,23.52,United States,Tennessee,11194,541,5.08%,1896635000,-0.16%,0.65%,1,434205000,0.62%,2.70%,-3.56%,-4.54%,67590000,168095000,-0.91%,3.23%,1.10%,-7.59%,-44.74%,8.31%,7.67%,-15.75%,,1,128956000,1095073000,169433,6038,177460000,1477566000,60101000,3.55%,,3.11%,2.78%,4.20%,4,553003,-12.42%,2.38%,-15.06%,-9.48%,-966117000,,-54.82%,3105399000,1627833000,22.89%,8.86%,5.05%,3.56%,,989775,55.87%,60.05,1.49%,5.29%,4.52%
CRMD,CorMedix,228721360,4.16,1.22%,Biotechnology,,153280725,Micro-Cap,Healthcare,,United States,New Jersey,82,,,,,,,,,,,,-46339227,-48957788,,,,,,,,,,,76108267,667632,,-565113,68049885,70142429,-7907763,,,175.22%,,,,370744,-16.80%,-5.02%,-13.54%,-35.81%,75440635,29.81%,32.98%,82059957,11917528,,,,,,437311,84.78%,66.53,,,
COOL,Corner Growth Acquisition,113681104,10.99,-0.09%,Shell Companies,,113651852,Micro-Cap,Financials,,United States,California,6,,,,,,,,,,,,7410237,-2030542,,,,,-43.17%,,,,2,,29252,,,1235040,-1806807,-8318807,-1836059,,,,,,,203,,,,,29252,-88.61%,0.03%,12638980,8576152,,,,,,1129,17.98%,69.36,,,
TRON,Corner Growth Acquisition Corp. 2,74255656,11.45,-0.26%,Shell Companies,,74184329,Micro-Cap,Financials,,United States,California,6,,,,,,,,,,,,-1523299,-3998085,,,,,,,,,1,,71327,,,-253883,-2888798,-10271752,-2960125,,,,,,,601,,,,,71327,-92.01%,0.10%,20059151,10515118,,,,,,6285,9.56%,44.25,,,
GLW,Corning,27636424704,33.02,2.20%,Electronic Components,48.56,33383424704,Large-Cap,Technology,17.50,United States,New York,49800,-7700,-13.39%,12588000000,3.65%,2.20%,,3931000000,-12.76%,-0.44%,-2.50%,3.64%,581000000,890000000,-38.11%,-9.30%,26.95%,-8.12%,-55.85%,,11.96%,-11.43%,,,1779000000,7526000000,252771,11667,2893000000,11551000000,1434000000,8.63%,,7.30%,-11.28%,-12.10%,,3559204,8.90%,0.25%,-1.90%,4.64%,-5747000000,,-20.80%,28500000000,16632000000,31.23%,7.07%,5.95%,4.62%,8.55%,4821472,73.82%,54.16,1.33%,-1.10%,3.15%
CPAY,Corpay,21790322688,305.52,0.44%,Software - Infrastructure,23.09,24064692688,Large-Cap,Technology,15.67,United States,Georgia,10500,,,3757719000,16.30%,9.08%,3,2937811000,10.34%,7.90%,8.59%,17.90%,981890000,1673496000,15.92%,14.26%,19.43%,6.13%,2.89%,13.55%,11.72%,3.89%,3,2,4448535000,6722905000,357878,93513,258512000,3282359000,-2063274000,,,,9.65%,6.08%,11,459288,-4.46%,-3.72%,16.03%,6.89%,-2274370000,,-10.44%,15476252000,12193893000,78.18%,44.53%,35.26%,26.13%,,446945,102.76%,64.54,9.13%,,
CAAP,Corporación América Airports,4109528320,16.19,0.94%,Airports & Air Services,16.54,4983312320,Mid-Cap,Industrials,4.89,Luxembourg,,6114,328,5.67%,1646891000,21.80%,1.19%,2,557669000,54.13%,37.49%,0.65%,101.53%,155572000,426772000,55.10%,42.36%,,2.33%,19.78%,-18.78%,,,2,,557709000,1431493000,269364,25445,143803000,874240000,-258210000,21.20%,,12.75%,35.08%,18.72%,10,121109,-4.52%,-2.22%,5.94%,4.43%,-873784000,,-21.26%,4056254000,3042203000,33.86%,25.91%,13.97%,9.45%,,139904,86.57%,65.70,4.52%,20.47%,7.86%
VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2604485376,39.15,2.73%,Real Estate - Development,9.16,3008985376,Mid-Cap,Real Estate,230.74,Mexico,,87,-3,-3.33%,214500000,,,2,196300000,17.83%,16.80%,,,316600000,166200000,15.74%,7.84%,,,29.97%,44.66%,,,2,3,511300000,915800000,2465517,3639080,418800000,2487000000,-22300000,25.86%,15.63%,19.42%,20.51%,17.94%,4,75536,-1.74%,-1.44%,,,-404500000,,-15.53%,3792200000,1305200000,91.52%,77.48%,135.01%,147.60%,,120811,62.52%,66.07,-12.59%,21.90%,21.92%
CRSR,Corsair Gaming,1254134912,12.29,2.33%,Computer Hardware,409.67,1274005912,Small-Cap,Technology,16.92,United States,California,2387,-93,-3.75%,1459875000,-4.99%,,1,360263000,21.45%,4.92%,,-8.18%,3187000,9689000,,-11.11%,-60.60%,,,-50.23%,-68.63%,,1,,178325000,198196000,611594,1335,293102000,667575000,126967000,6.93%,,10.70%,6.17%,4.65%,3,241910,-16.96%,-11.00%,-14.88%,,-19871000,,-1.58%,1357463000,663483000,24.68%,0.66%,-0.34%,0.22%,4.47%,374170,64.65%,44.98,-0.17%,4.55%,4.87%
CTVA,Corteva,39346941952,57.00,1.24%,Agricultural Inputs,55.34,39093941952,Large-Cap,Materials,19.98,United States,Indiana,22500,1500,7.14%,17226000000,6.61%,3.81%,,7306000000,4.09%,1.98%,10.98%,8.56%,735000000,1774000000,13.35%,,51.72%,,-35.92%,,2.58%,,,,2742000000,2489000000,765600,32667,5851000000,25037000000,3307000000,4.08%,4.42%,4.60%,-1.31%,-3.08%,,2629245,90.44%,-57.81%,31.09%,-20.70%,253000000,-87.40%,0.64%,42996000000,17717000000,42.41%,10.30%,5.15%,4.27%,7.76%,3798190,69.22%,69.80,0.88%,-1.78%,4.86%
CRVL,CorVel,4388448768,258.61,0.74%,Insurance Brokers,59.41,4223694768,Mid-Cap,Financials,,United States,California,4444,211,4.98%,773521000,11.76%,5.63%,2,170241000,6.83%,4.50%,7.36%,12.81%,74967000,95098000,7.80%,0.65%,20.28%,10.80%,10.52%,1.46%,20.08%,11.34%,,3,187832000,23078000,174060,16869,106005000,233530000,-81827000,,,,9.80%,12.78%,11,30394,-10.46%,-7.87%,-34.54%,,164754000,21.94%,3.75%,444995000,211465000,22.01%,12.29%,12.29%,9.69%,,35881,84.71%,64.70,2.60%,,
CRVS,Corvus Pharmaceuticals,88759864,1.79,1.70%,Biotechnology,,62984864,Micro-Cap,Healthcare,,United States,California,28,,,,,,,,,,,,-27029000,-23407000,,,,,,,,,2,4,27149000,1374000,,-965321,21087000,38684000,-4688000,,,,,,,160098,-47.17%,-18.70%,-15.90%,,25775000,-35.08%,29.04%,45553000,6869000,,,,,,216200,74.05%,35.36,,,
CSAN,Cosan,6088633856,13.02,1.48%,Oil & Gas Refining & Marketing,,16001734866,Mid-Cap,Energy,11.29,Brazil,,11181,600,5.67%,8146181964,,,2,2171759756,30.16%,17.45%,,,-92597194,2085782715,90.85%,101.28%,,,,,,,,1,3075505048,12988606058,728574,-8282,2157726380,3702518832,531800024,276.41%,,5.77%,10.79%,-10.90%,,570953,11.95%,3.25%,,,-9913101010,,-162.81%,27617237359,18068553169,26.66%,25.60%,1.17%,-1.14%,,208767,273.49%,40.06,2.31%,262.91%,270.18%
COSM,Cosmos Health,11234664,0.71,6.43%,Drug Manufacturers - Specialty & Generic,,18830972,Nano-Cap,Healthcare,,United States,J3,102,,,49588253,-0.87%,4.62%,,3553925,-58.03%,-31.90%,7.78%,-22.74%,-42909450,-15542750,,,,,,,,,,,3190189,10786497,486159,-420681,23901453,44195740,27447202,3.90%,,24.76%,-8.97%,6.72%,1,142168,-56.30%,14.01%,-30.68%,-4.45%,-7596308,,-67.61%,71525379,26957225,7.17%,-31.34%,-30.87%,-86.53%,,301960,47.08%,43.23,0.61%,16.38%,20.17%
CMRE,Costamare,1316389120,11.29,0.98%,Marine Shipping,3.78,3121530120,Small-Cap,Industrials,,Monaco,,2863,-11,-0.38%,1511406000,48.63%,31.77%,3,622543000,-20.20%,-2.79%,19.01%,23.64%,354681000,465432000,-29.38%,-52.30%,97.27%,31.76%,-32.30%,-48.26%,,57.38%,,,842696000,2647837000,527910,123884,454891000,2382531000,122899000,-1.15%,,-3.75%,35.69%,86.43%,3,201008,2.45%,-4.11%,18.65%,9.95%,-1805141000,,-137.13%,5287022000,2848262000,41.19%,30.79%,25.52%,23.47%,,465837,43.15%,52.43,,32.66%,-17.25%
CSGP,CoStar Group,38872367104,96.22,1.09%,Real Estate Services,104.09,34766867104,Large-Cap,Real Estate,156.32,United States,District of Columbia,6152,,,2455000000,13.96%,15.55%,14,1963500000,11.03%,8.54%,16.32%,13.30%,374700000,282300000,-37.41%,-45.49%,-0.80%,0.63%,1.41%,-22.46%,18.16%,9.47%,3,,5215900000,1110400000,399057,60907,5020300000,7338600000,-155600000,14.99%,15.45%,17.71%,12.49%,11.64%,57,1241913,0.43%,0.23%,-0.98%,208.09%,4105500000,6.29%,10.56%,8919700000,1581100000,79.98%,11.50%,20.42%,15.26%,10.90%,2210626,56.18%,66.06,5.16%,13.36%,14.28%
COST,Costco Wholesale,324192534528,732.08,0.15%,Discount Stores,47.88,323304534528,Mega-Cap,Consumer Staples,44.65,United States,Washington,316000,12000,3.95%,248828000000,11.68%,11.06%,14,30837000000,9.02%,6.71%,10.06%,9.57%,6794000000,8506000000,7.10%,8.36%,13.11%,12.77%,12.28%,18.89%,16.08%,14.52%,7,3,10321000000,9433000000,787430,21500,-2542000000,20760000000,-11783000000,7.12%,6.32%,6.89%,6.16%,5.75%,58,1191066,3.22%,0.92%,-2.79%,7.76%,888000000,-80.55%,0.27%,66323000000,45563000000,12.39%,3.42%,3.65%,2.73%,,2166603,54.97%,49.72,0.92%,12.47%,-25.59%
CTRA,Coterra Energy,20630421504,27.86,1.46%,Oil & Gas Exploration & Production,13.08,21826421504,Large-Cap,Energy,14.60,United States,Texas,894,-87,-8.87%,5914000000,59.19%,22.00%,,4094000000,-43.69%,-39.13%,23.68%,71.76%,1625000000,2154000000,-58.65%,-55.44%,93.78%,22.84%,-60.02%,-59.69%,100.70%,23.88%,,,965000000,2161000000,6615213,1817673,355000000,13039000000,-35000000,-0.78%,,17.01%,-34.66%,-30.00%,,4937175,-0.92%,-0.28%,23.98%,12.00%,-1196000000,,-5.80%,20415000000,7368000000,69.23%,36.42%,35.98%,27.48%,0.34%,7027990,70.25%,68.63,8.51%,-18.46%,17.97%
COTY,Coty Inc.,10428719104,11.82,1.46%,Household & Personal Products,33.77,13950119104,Large-Cap,Consumer Staples,21.94,United States,New York,11350,338,3.07%,6009500000,13.02%,-1.58%,2,3826300000,13.47%,12.60%,-0.50%,18.21%,310600000,606700000,72.90%,18.77%,,,146.90%,-24.43%,,,4,,483500000,4004900000,529471,27366,-429400000,4424800000,-842500000,12.60%,5.92%,5.56%,14.07%,13.39%,4,3731391,-9.15%,-9.81%,-11.22%,-12.52%,-3521400000,,-33.77%,13015700000,8158400000,63.67%,10.10%,8.47%,5.17%,,3802036,98.14%,40.62,3.09%,8.15%,5.73%
BASE,Couchbase,1248900096,26.12,0.54%,Software - Infrastructure,,1100554096,Small-Cap,Technology,,United States,California,7,-733,-99.05%,180037000,20.35%,,4,157955000,17.38%,26.01%,,19.89%,-80183000,-84537000,,,,,,,,,,,153632000,5286000,25719571,-11454714,111780000,130421000,-38644000,16.35%,18.15%,15.73%,16.28%,20.34%,12,304627,-30.99%,-7.62%,-40.38%,,148346000,-7.65%,11.88%,247752000,117331000,87.73%,-46.96%,-43.78%,-44.54%,35.59%,501101,60.79%,42.96,0.75%,5.62%,16.09%
CPNG,Coupang,31562432512,17.61,0.06%,Specialty Retail,23.48,28753432512,Large-Cap,Consumer Discretionary,56.01,South Korea,,78000,15000,23.81%,24383000000,26.77%,,5,6190000000,31.42%,31.40%,,46.07%,1360000000,473000000,,57.14%,,,,911.35%,,,2,8,5596000000,2787000000,312603,17436,947000000,4089000000,-3778000000,18.89%,,14.21%,18.46%,23.16%,12,11301954,16.03%,-0.05%,7.65%,,2809000000,118.94%,8.90%,13346000000,9242000000,25.39%,1.94%,2.40%,5.58%,,12135734,93.13%,49.30,-3.18%,19.39%,21.23%
COUR,Coursera,2181549312,14.07,1.22%,Education & Training Services,,1466078312,Mid-Cap,Consumer Staples,83.86,United States,California,1295,-106,-7.57%,635764000,29.39%,,4,329771000,-0.52%,1.65%,,28.71%,-116554000,-145596000,,,,,,,,,1,4,722067000,6596000,490937,-90003,534226000,616194000,-181284000,18.15%,,15.21%,21.39%,18.78%,12,1253746,-54.35%,-22.12%,-36.88%,,715471000,-6.60%,32.80%,920533000,304339000,51.87%,-22.90%,-17.49%,-18.33%,25.18%,1575047,79.60%,31.53,0.84%,17.74%,18.00%
CUZ,Cousins Properties,3469400832,23.57,3.33%,REIT - Office,42.85,5920980832,Mid-Cap,Real Estate,39.55,United States,Georgia,305,19,6.64%,802874000,2.74%,11.06%,9,536440000,6.45%,2.92%,11.55%,3.10%,82963000,186476000,6.04%,1.35%,6.38%,12.71%,-50.26%,-22.11%,-29.55%,0.94%,,,6047000,2457627000,2632374,272010,,4524151000,,1.73%,,4.69%,5.32%,1.25%,6,1460542,5.27%,1.62%,4.35%,18.26%,-2451580000,,-70.66%,7634474000,3086161000,66.81%,23.23%,10.33%,10.33%,,1694565,86.19%,53.57,,-1.10%,-0.90%
CVLG,Covenant Logistics Group,599066880,45.90,0.95%,Trucking,11.46,890236880,Small-Cap,Industrials,10.55,United States,Tennessee,2900,,,1103573000,9.59%,4.62%,,220736000,-4.68%,12.98%,1.52%,10.55%,55229000,58823000,-51.26%,30.85%,,1.20%,-49.18%,11.23%,,5.38%,,1,2294000,293464000,380542,19044,15654000,403420000,73742000,5.66%,,8.23%,-9.31%,-7.46%,,28942,63.37%,21.42%,38.03%,4.31%,-291170000,,-48.60%,954438000,551018000,20.00%,5.33%,6.60%,5.00%,,72908,39.70%,46.37,1.60%,2.82%,5.34%
COYA,Coya Therapeutics,140336080,9.65,9.04%,Biotechnology,,107709312,Micro-Cap,Healthcare,,United States,Texas,8,,,6002206,,,,6002206,,,,,-7987836,-7903349,,,,,,,,,1,3,32626768,,750276,-998479,36144345,35635609,3517577,1.96%,,66.67%,,,,68226,,,,,32626768,,23.25%,41262274,5626665,100.00%,-131.67%,-121.02%,-133.08%,91.66%,95190,71.67%,55.40,12.06%,,
CVU,CPI Aerostructures,28766348,2.29,0.88%,Aerospace & Defense,3.09,52591370,Nano-Cap,Industrials,6.54,United States,New York,208,,,87041940,0.83%,3.92%,,16854756,10.46%,-30.44%,15.40%,38.47%,9274513,5813400,57.56%,-54.67%,,,392.57%,-83.79%,,,4,,2609693,26434715,418471,44589,15172459,7298630,16990147,,,,1.67%,1.00%,3,26907,-14.08%,-3.19%,-10.57%,-5.80%,-23825022,,-82.82%,59259130,51960500,19.36%,6.68%,3.69%,10.66%,,33193,81.06%,32.25,-6.96%,,
PMTS,CPI Card Group,191305424,16.84,4.40%,Credit Services,8.38,443889424,Micro-Cap,Financials,7.63,United States,Colorado,1448,,,444547000,12.50%,11.69%,,155489000,-11.54%,-25.43%,14.62%,12.12%,23985000,61375000,-22.08%,-53.56%,16.93%,67.87%,-34.36%,-78.10%,14.14%,,,,12413000,264997000,307008,16564,115933000,-51936000,103520000,4.72%,,,-6.56%,-18.64%,,17200,-7.19%,-2.81%,-7.67%,-2.82%,-252584000,,-132.03%,293683000,345619000,34.98%,13.81%,7.75%,5.40%,,21137,81.37%,46.90,2.36%,-12.53%,-3.17%
CPSH,CPS Technologies,26860504,1.88,2.17%,Electronic Components,20.89,18273765,Nano-Cap,Technology,,United States,Massachusetts,100,,,27550646,9.69%,5.01%,3,6825409,-6.52%,-29.35%,18.57%,17.85%,1370296,1699363,-23.95%,-53.54%,22.95%,,-35.71%,-48.14%,14.70%,,,,8813626,226887,275506,13703,14075476,17321974,5308647,,,,3.62%,10.33%,1,35850,-44.33%,-17.23%,2.17%,,8586739,9.26%,31.97%,21602116,4280142,24.77%,6.17%,7.09%,4.97%,,39252,91.33%,39.04,2.11%,,
CRAI,CRA International,1009723328,145.99,0.70%,Consulting Services,26.87,1064133328,Small-Cap,Industrials,23.92,United States,Massachusetts,1004,,,623976000,7.07%,8.36%,8,184225000,1.88%,10.45%,7.48%,10.20%,38481000,57545000,-2.03%,28.90%,18.26%,14.74%,-11.78%,32.12%,16.23%,11.34%,,1,54345000,108755000,621490,38328,29389000,212101000,-8481000,5.21%,,7.59%,5.60%,11.48%,1,34371,-10.84%,-24.26%,-10.76%,,-54410000,,-5.39%,553211000,341110000,29.52%,9.22%,8.38%,6.17%,,32529,105.66%,78.97,2.21%,7.82%,5.38%
CBRL,Cracker Barrel Old Country Store,1566287616,72.57,5.34%,Restaurants,19.35,2695462616,Small-Cap,Consumer Discretionary,15.02,United States,Tennessee,77000,4000,5.48%,3428661000,15.05%,2.18%,3,2338729000,3.37%,2.18%,1.92%,14.96%,83420000,100202000,-20.48%,-21.06%,-22.18%,-18.84%,-23.12%,-12.98%,20.38%,-17.48%,,,12602000,1141777000,44528,1083,-191037000,461967000,-203639000,4.04%,,0.78%,1.02%,0.16%,1,944436,-2.09%,-2.60%,-10.62%,23.34%,-1129175000,,-72.09%,2185059000,1723092000,68.21%,2.92%,2.37%,2.43%,,588732,160.42%,58.78,-0.07%,12.43%,2.02%
CR,Crane Company,6420072448,134.89,0.74%,Specialty Industrial Machinery,30.30,6406072448,Mid-Cap,Industrials,27.22,United States,Connecticut,7300,300,4.29%,2415500000,-6.31%,-6.31%,,959700000,-27.39%,-42.39%,-4.20%,-1.38%,255900000,358500000,-31.64%,-48.26%,10.89%,-4.07%,-39.56%,-49.18%,12.24%,-5.28%,,,329600000,315600000,330890,35055,623700000,1357800000,304900000,79.54%,3.40%,-38.09%,-26.90%,-35.34%,,98826,-74.61%,26.09%,-36.26%,-19.75%,14000000,,0.22%,2333600000,973300000,39.73%,14.84%,13.64%,10.59%,,254729,38.80%,63.95,3.14%,-33.26%,11.45%
CXT,"Crane NXT, Co.",3435638528,61.54,2.65%,Specialty Industrial Machinery,18.76,3853338528,Mid-Cap,Industrials,14.30,United States,Massachusetts,4000,-7000,-63.64%,1391300000,-22.05%,-16.09%,1,654100000,4.46%,2.60%,-11.27%,-13.37%,188300000,286800000,-4.81%,-0.82%,2.94%,-8.26%,-8.10%,-20.16%,1.33%,-10.91%,,,227200000,644900000,347825,47075,310000000,964000000,87400000,1.92%,16.43%,4.94%,3.84%,5.53%,3,277379,-23.66%,-9.77%,-19.11%,-7.44%,-417700000,,-12.16%,2129400000,1165400000,47.01%,20.61%,17.24%,13.53%,,355545,78.02%,60.56,3.70%,-62.54%,-2.40%
